단축코드,한글명,그룹코드,시장
F70100001,한투글로벌신성장2호(A),BC,코스피
F70100002,한투글로벌신성장1호(A),BC,코스피
F70100003,한투글로벌신성장1호(A-e),BC,코스피
F70100004,한투글로벌신성장2호(A-e),BC,코스피
F70101B95,밀라노부동산,BC,코스피
F70101B96,벨기에코어오피스2호,BC,코스피
F70101B99,한국투자도쿄한조몬오피스,BC,코스피
F70101B9A,한국투자뉴욕오피스1호,BC,코스피
F70101BB1,한국투자서울오피스,BC,코스피
F70102B96,룩셈부르크코어오피스(파생형)(A),BC,코스피
F70103B96,룩셈부르크코어오피스(파생형)(C-I),BC,코스피
F71201B97,키움히어로즈미국물류부동산1호,BC,코스피
F71201B98,키움히어로즈유럽오피스부동산1호 A,BC,코스피
F71202B98,키움히어로즈유럽오피스부동산1호 C-I,BC,코스피
F71203B98,키움히어로즈유럽오피스부동산2호 A,BC,코스피
F71204B98,키움히어로즈유럽오피스부동산2호 C-I,BC,코스피
F71205B98,키움히어로즈유럽오피스부동산3호 A,BC,코스피
F71206B98,키움히어로즈유럽오피스부동산3호 C-I,BC,코스피
F71207B98,키움히어로즈유럽오피스부동산4호 A,BC,코스피
F71208B98,키움히어로즈유럽오피스부동산4호 C-I,BC,코스피
F71901B9B,KB와이즈스타부동산3A,BC,코스피
F71901BB4,KB국민참여뉴딜,BC,코스피
F71901BBC,KB국민참여뉴딜2A,BC,코스피
F71902B9B,KB와이즈스타부동산3C-F,BC,코스피
F71902BBC,KB국민참여뉴딜2C,BC,코스피
F72500001,신한공모주하이일드[채권혼합](종A1),BC,코스피
F72500002,신한공모주하이일드[채권혼합](종A-e),BC,코스피
F72501BB4,신한국민참여정책형뉴딜혼합자산(종A1),BC,코스피
F72501BBC,신한국민참여정책형뉴딜혼합자산2호 C1,BC,코스피
F72502BB4,신한국민참여정책형뉴딜혼합자산(종C1),BC,코스피
F72502BBC,신한국민참여정책형뉴딜혼합자산2호 A1,BC,코스피
F72801BB4,한화국민참여정책형뉴딜 A,BC,코스피
F72801BBC,한화국민참여정책형뉴딜2A,BC,코스피
F72802BB4,한화국민참여정책형뉴딜 C,BC,코스피
F72802BBC,한화국민참여정책형뉴딜2C,BC,코스피
F73300001,다올공모주하이일드만기형증권1 A,BC,코스피
F73300002,다올공모주하이일드만기형증권1 Ae,BC,코스피
F73400001,코레이트하이일드공모주만기형증권1호A,BC,코스피
F73400002,코레이트하이일드공모주만기형증권1호A-e,BC,코스피
F73501BB4,GB국민참여정책형뉴딜A,BC,코스피
F73501BBC,GB뉴딜기업2호A,BC,코스피
F73502BB4,GB국민참여정책형뉴딜C,BC,코스피
F73502BBC,GB뉴딜기업2호Ae,BC,코스피
F73503BB4,GB국민참여정책형뉴딜I,BC,코스피
F74100001,흥국플러스공모주하이일드증권 A,BC,코스피
F74100002,흥국플러스공모주하이일드증권 A-e,BC,코스피
F74201773,하나대체나사부동산1호,BC,코스피
F7420177B,하나대체미국LA부동산1호 A,BC,코스피
F74201B98,하나대체일본부동산1호 P,BC,코스피
F74201BAA,하나대체미국부동산1호 A,BC,코스피
F7420277B,하나대체미국LA부동산1호 F,BC,코스피
F74202B98,하나대체일본부동산1호 A,BC,코스피
F74202BAA,하나대체미국부동산1호 C-I,BC,코스피
F74203B98,하나대체일본부동산1호 C-W,BC,코스피
F74204B98,하나대체일본부동산1호 C-I,BC,코스피
F74401769,맵스미국9-2호,BC,코스피
F74401777,맵스미국11호,BC,코스피
F74401BAA,맵스미국16호 종류A,BC,코스피
F74601669,KCGI베트남증권투자신탁,BC,코스피
F74701776,이지스코어부동산126호 A,BC,코스피
F74701789,이지스204호 Class A,BC,코스피
F74701B8A,이지스229호 Class A,BC,코스피
F74701B97,이지스글로벌281호 Class A,BC,코스피
F74701B9A,이지스299호A,BC,코스피
F74702776,이지스코어부동산126호 C-i,BC,코스피
F74702786,이지스리테일194호,BC,코스피
F74702B8A,이지스229호 Class C-I,BC,코스피
F75601BA2,유경공모부동산3호ClassA,BC,코스피
F75602BA2,유경공모부동산3호ClassC-I,BC,코스피
F75701BA7,현대유퍼스트부동산30호[파생형] A,BC,코스피
F75702BA7,현대유퍼스트부동산30호[파생형] C-i,BC,코스피
F75801BB4,IBK 국민참여정책형뉴딜 혼합자산 A,BC,코스피
F75801BBC,IBK국민참여정책형뉴딜혼합자산2호A,BC,코스피
F75802BB4,IBK 국민참여정책형뉴딜 혼합자산 C,BC,코스피
F75802BBC,IBK국민참여정책형뉴딜혼합자산2호C,BC,코스피
F76201BC5,이탈리아물류1호 종류A,BC,코스피
F76400001,VIP The First 증권투자신탁 1호 A,BC,코스피
F76400002,VIP The First 증권투자신탁 1호 A-e,BC,코스피
F76400003,VIP The First 증권투자신탁 2호 A,BC,코스피
F76400004,VIP The First 증권투자신탁 2호 A-e,BC,코스피
F77200001,한국밸류K-파워1호 (A),BC,코스피
F77200002,한국밸류K-파워1호 (A-e),BC,코스피
F77200003,한국밸류K-파워2호 (A),BC,코스피
F77200004,한국밸류K-파워2호 (A-e),BC,코스피
000020,동화약품,ST,코스피
000040,KR모터스,ST,코스피
000050,경방,ST,코스피
000070,삼양홀딩스,ST,코스피
000075,삼양홀딩스우,ST,코스피
000080,하이트진로,ST,코스피
000087,하이트진로2우B,ST,코스피
000100,유한양행,ST,코스피
000105,유한양행우,ST,코스피
000120,CJ대한통운,ST,코스피
000140,하이트진로홀딩스,ST,코스피
000145,하이트진로홀딩스우,ST,코스피
000150,두산,ST,코스피
000155,두산우,ST,코스피
000157,두산2우B,ST,코스피
000180,성창기업지주,ST,코스피
000210,DL,ST,코스피
000215,DL우,ST,코스피
000220,유유제약,ST,코스피
000225,유유제약1우,ST,코스피
000227,유유제약2우B,ST,코스피
000230,일동홀딩스,ST,코스피
000240,한국앤컴퍼니,ST,코스피
000270,기아,ST,코스피
000300,대유플러스,ST,코스피
000320,노루홀딩스,ST,코스피
000325,노루홀딩스우,ST,코스피
000370,한화손해보험,ST,코스피
000390,삼화페인트,ST,코스피
000400,롯데손해보험,ST,코스피
000430,대원강업,ST,코스피
000480,CR홀딩스,ST,코스피
000490,대동,ST,코스피
000500,가온전선,ST,코스피
000520,삼일제약,ST,코스피
000540,흥국화재,ST,코스피
000545,흥국화재우,ST,코스피
000590,CS홀딩스,ST,코스피
000640,동아쏘시오홀딩스,ST,코스피
000650,천일고속,ST,코스피
000660,SK하이닉스,ST,코스피
000670,영풍,ST,코스피
000680,LS네트웍스,ST,코스피
000700,유수홀딩스,ST,코스피
000720,현대건설,ST,코스피
000725,현대건설우,ST,코스피
000760,이화산업,ST,코스피
000810,삼성화재,ST,코스피
000815,삼성화재우,ST,코스피
000850,화천기공,ST,코스피
000860,강남제비스코,ST,코스피
000880,한화,ST,코스피
000885,한화우,ST,코스피
00088K,한화3우B,ST,코스피
000890,보해양조,ST,코스피
000910,유니온,ST,코스피
000950,전방,ST,코스피
000970,한국주철관,ST,코스피
000990,DB하이텍,ST,코스피
001020,페이퍼코리아,ST,코스피
001040,CJ,ST,코스피
001045,CJ우,ST,코스피
00104K,CJ4우(전환),ST,코스피
001060,JW중외제약,ST,코스피
001065,JW중외제약우,ST,코스피
001067,JW중외제약2우B,ST,코스피
001070,대한방직,ST,코스피
001080,만호제강,ST,코스피
001120,LX인터내셔널,ST,코스피
001130,대한제분,ST,코스피
001140,국보,ST,코스피
001200,유진투자증권,ST,코스피
001210,금호전기,ST,코스피
001230,동국홀딩스,ST,코스피
001250,GS글로벌,ST,코스피
001260,남광토건,ST,코스피
001270,부국증권,ST,코스피
001275,부국증권우,ST,코스피
001290,상상인증권,ST,코스피
001340,백광산업,ST,코스피
001360,삼성제약,ST,코스피
001380,SG글로벌,ST,코스피
001390,KG케미칼,ST,코스피
001420,태원물산,ST,코스피
001430,세아베스틸지주,ST,코스피
001440,대한전선,ST,코스피
001450,현대해상,ST,코스피
001460,BYC,ST,코스피
001465,BYC우,ST,코스피
001470,삼부토건,ST,코스피
001500,현대차증권,ST,코스피
001510,SK증권,ST,코스피
001515,SK증권우,ST,코스피
001520,동양,ST,코스피
001525,동양우,ST,코스피
001527,동양2우B,ST,코스피
001530,DI동일,ST,코스피
001550,조비,ST,코스피
001560,제일연마,ST,코스피
001570,금양,ST,코스피
001620,케이비아이동국실업,ST,코스피
001630,종근당홀딩스,ST,코스피
001680,대상,ST,코스피
001685,대상우,ST,코스피
001720,신영증권,ST,코스피
001725,신영증권우,ST,코스피
001740,SK네트웍스,ST,코스피
001750,한양증권,ST,코스피
001755,한양증권우,ST,코스피
001770,SHD,ST,코스피
001780,알루코,ST,코스피
001790,대한제당,ST,코스피
001795,대한제당우,ST,코스피
001800,오리온홀딩스,ST,코스피
001820,삼화콘덴서,ST,코스피
001880,DL건설,ST,코스피
001940,KISCO홀딩스,ST,코스피
002020,코오롱,ST,코스피
002025,코오롱우,ST,코스피
002030,아세아,ST,코스피
002070,비비안,ST,코스피
002100,경농,ST,코스피
002140,고려산업,ST,코스피
002150,도화엔지니어링,ST,코스피
002170,삼양통상,ST,코스피
002200,한국수출포장,ST,코스피
002210,동성제약,ST,코스피
002220,한일철강,ST,코스피
002240,고려제강,ST,코스피
002310,아세아제지,ST,코스피
002320,한진,ST,코스피
002350,넥센타이어,ST,코스피
002355,넥센타이어1우B,ST,코스피
002360,SH에너지화학,ST,코스피
002380,KCC,ST,코스피
002390,한독,ST,코스피
002410,범양건영,ST,코스피
002420,세기상사,ST,코스피
002450,삼익악기,ST,코스피
002460,화성산업,ST,코스피
002600,조흥,ST,코스피
002620,제일파마홀딩스,ST,코스피
002630,오리엔트바이오,ST,코스피
002690,동일제강,ST,코스피
002700,신일전자,ST,코스피
002710,TCC스틸,ST,코스피
002720,국제약품,ST,코스피
002760,보락,ST,코스피
002780,진흥기업,ST,코스피
002785,진흥기업우B,ST,코스피
002787,진흥기업2우B,ST,코스피
002790,아모레G,ST,코스피
002795,아모레G우,ST,코스피
00279K,아모레G3우(전환),ST,코스피
002810,삼영무역,ST,코스피
002820,SUN&L,ST,코스피
002840,미원상사,ST,코스피
002870,신풍,ST,코스피
002880,대유에이텍,ST,코스피
002900,TYM,ST,코스피
002920,유성기업,ST,코스피
002960,한국쉘석유,ST,코스피
002990,금호건설,ST,코스피
002995,금호건설우,ST,코스피
003000,부광약품,ST,코스피
003010,혜인,ST,코스피
003030,세아제강지주,ST,코스피
003060,에이프로젠바이오로직스,ST,코스피
003070,코오롱글로벌,ST,코스피
003075,코오롱글로벌우,ST,코스피
003080,성보화학,ST,코스피
003090,대웅,ST,코스피
003120,일성신약,ST,코스피
003160,디아이,ST,코스피
003200,일신방직,ST,코스피
003220,대원제약,ST,코스피
003230,삼양식품,ST,코스피
003240,태광산업,ST,코스피
003280,흥아해운,ST,코스피
003300,한일홀딩스,ST,코스피
003350,한국화장품제조,ST,코스피
003410,쌍용C&E,ST,코스피
003460,유화증권,ST,코스피
003465,유화증권우,ST,코스피
003470,유안타증권,ST,코스피
003475,유안타증권우,ST,코스피
003480,한진중공업홀딩스,ST,코스피
003490,대한항공,ST,코스피
003495,대한항공우,ST,코스피
003520,영진약품,ST,코스피
003530,한화투자증권,ST,코스피
003535,한화투자증권우,ST,코스피
003540,대신증권,ST,코스피
003545,대신증권우,ST,코스피
