,Species,Farm.Name,Lot.Number,Altitude,Number.of.Bags,Bag.Weight,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Country.of.Origin
0,Arabica,conquista / morito,,,250,1 kg,2012,"January 13th, 2012",Bourbon,Washed / Wet,7.17,6.08,6.17,7.25,7.33,7.33,10,10,10,7,78.33,0.11,0,0,Green,9,"January 12th, 2013",2
1,Arabica,,,de 1.600 a 1.950 msn,275,70 kg,Mayo a Julio,"July 29th, 2011",Caturra,,7.33,7.33,7.33,7.58,7.25,8.08,10,10,10,8.17,83.08,0.01,0,0,,0,"July 28th, 2012",1
2,Arabica,la esmeralda,11/23/0634,4000,25,69 kg,2017,"September 8th, 2017",Bourbon,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10,10,10,7.5,82.58,0.1,0,1,Green,2,"September 8th, 2018",2
3,Arabica,fazenda santo antonio,,900-1100,305,2 kg,2014,"February 13th, 2015",Catuai,Natural / Dry,7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,83,0,0,0,Green,0,"February 13th, 2016",0
4,Arabica,,,,1,5 lbs,2013,"September 12th, 2014",,Washed / Wet,7.5,7.42,7.42,7.42,7.67,7.42,10,10,10,7.25,82.08,0.11,1,0,Green,0,"September 12th, 2015",1
5,Arabica,,,1750,275,70 kg,2013,"August 27th, 2013",Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8,10,10,10,7.58,83.75,0.11,0,0,Green,3,"August 27th, 2014",1
6,Arabica,agropecuaria quiagral,,4300,250,1 kg,2012,"July 9th, 2012",Bourbon,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83.25,0.11,0,0,Green,9,"July 9th, 2013",2
7,Arabica,pereira estate coffee,,1.2,300,60 kg,2010,"January 4th, 2011",Yellow Bourbon,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,,3,"January 4th, 2012",0
8,Arabica,gabriel bernard rivas ross,53,1300,8,8 kg,2016,"February 25th, 2016",,,7.5,7.67,7.42,7.75,7.42,7.17,10,10,10,7.75,82.67,0.11,0,2,Green,3,"February 24th, 2017",3
9,Arabica,,,1750 msnm,250,70 kg,2013,"June 21st, 2013",Caturra,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,82.33,0,0,0,Green,1,"June 21st, 2014",1
10,Arabica,el injerto s.a.,,1700m,36,55 lbs,2014,"March 21st, 2015",Pacamara,Washed / Wet,7.33,7.42,7.17,7.25,7.42,7.33,10,10,10,7.33,81.25,0.09,0,0,Bluish-Green,2,"March 20th, 2016",2
11,Arabica,el jabali,,1400 m,100,1 kg,2012,"March 5th, 2012",Typica,Washed / Wet,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,82.92,0.14,1,0,Green,4,"March 5th, 2013",3
12,Arabica,various,,1750 msnm,250,70 kg,2013,"October 29th, 2013",Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,7.58,83.67,0,0,0,Green,3,"October 29th, 2014",1
13,Arabica,los magueyes,,774,10,1 kg,2012,"September 27th, 2012",Bourbon,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,81.75,0.13,2,0,,9,"September 27th, 2013",3
14,Arabica,,,442 msnm,250,70 kg,2015/2016,"November 27th, 2015",Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,7.75,83.75,0,0,0,Green,0,"November 26th, 2016",1
15,Arabica,capoeirinha,260/15,905,320,60 kg,2015,"April 25th, 2016",Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,82.75,0.11,0,2,Bluish-Green,1,"April 25th, 2017",0
16,Arabica,fazenda capoeirnha,020/17,890,320,60 kg,2017 / 2018,"October 20th, 2017",Bourbon,Natural / Dry,7.5,7.33,7.42,7.58,7.58,6.92,8,8,10,7,77.33,0,0,0,Green,3,"October 20th, 2018",0
17,Arabica,el papaturro,,4000 psn,250,69 kg,2014,"March 24th, 2014",Bourbon,Washed / Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58,0.09,0,0,Green,0,"March 24th, 2015",2
18,Arabica,,3-59-1772,442,250,70 kg,2016,"February 11th, 2016",,,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,7.67,83.92,0.11,1,0,Green,2,"February 10th, 2017",1
19,Arabica,"cafetal el equimite, rancho agroecológico",,1300,35,1 kg,2012,"September 10th, 2012",Typica,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,7.42,82.08,0.13,0,0,Green,7,"September 10th, 2013",3
